config,top1_accuracy,avg_confidence,min_conf,max_conf,label_mean,pred_std
lr0.1_nl1023_ff1.0_bf0.8,0.9862,5.6855,-7.6664,10.1484,0.0179,2.6923
lr0.1_nl1023_ff1.0_bf1.0,0.9862,5.6855,-7.6664,10.1484,0.0179,2.6923
lr0.1_nl511_ff1.0_bf1.0,0.9861,4.5436,-6.0193,9.1327,0.0179,2.7197
lr0.1_nl511_ff1.0_bf0.8,0.9861,4.5436,-6.0193,9.1327,0.0179,2.7197
lr0.05_nl1023_ff1.0_bf1.0,0.9855,3.6442,-4.5878,5.4714,0.0179,1.4836
lr0.05_nl1023_ff1.0_bf0.8,0.9855,3.6442,-4.5878,5.4714,0.0179,1.4836
lr0.1_nl255_ff1.0_bf1.0,0.9809,3.8684,-4.9001,8.1836,0.0179,2.722
lr0.1_nl255_ff1.0_bf0.8,0.9809,3.8684,-4.9001,8.1836,0.0179,2.722
lr0.05_nl511_ff1.0_bf0.8,0.9782,3.2501,-4.7486,5.4385,0.0179,1.5485
lr0.05_nl511_ff1.0_bf1.0,0.9782,3.2501,-4.7486,5.4385,0.0179,1.5485
lr0.1_nl127_ff1.0_bf1.0,0.9583,3.5733,-4.5431,7.4281,0.0179,2.6278
lr0.1_nl127_ff1.0_bf0.8,0.9583,3.5733,-4.5431,7.4281,0.0179,2.6278
lr0.05_nl255_ff1.0_bf1.0,0.9545,3.0453,-3.9687,5.2448,0.0179,1.5946
lr0.05_nl255_ff1.0_bf0.8,0.9545,3.0453,-3.9687,5.2448,0.0179,1.5946
lr0.1_nl63_ff1.0_bf0.8,0.9326,3.436,-4.9259,6.9191,0.0179,2.5535
lr0.1_nl63_ff1.0_bf1.0,0.9326,3.436,-4.9259,6.9191,0.0179,2.5535
lr0.05_nl127_ff1.0_bf1.0,0.9298,2.9208,-4.4651,5.0224,0.0179,1.6122
lr0.05_nl127_ff1.0_bf0.8,0.9298,2.9208,-4.4651,5.0224,0.0179,1.6122
lr0.1_nl31_ff1.0_bf0.8,0.915,3.3357,-5.7265,6.621,0.0179,2.4101
lr0.1_nl31_ff1.0_bf1.0,0.915,3.3357,-5.7265,6.621,0.0179,2.4101
lr0.05_nl63_ff1.0_bf1.0,0.9096,2.8055,-4.6991,4.7515,0.0179,1.5953
lr0.05_nl63_ff1.0_bf0.8,0.9096,2.8055,-4.6991,4.7515,0.0179,1.5953
lr0.1_nl15_ff1.0_bf0.8,0.8976,3.0991,-5.9837,6.153,0.0179,2.3013
lr0.1_nl15_ff1.0_bf1.0,0.8976,3.0991,-5.9837,6.153,0.0179,2.3013
lr0.05_nl31_ff1.0_bf1.0,0.8917,2.683,-4.8963,4.6469,0.0179,1.5596
lr0.05_nl31_ff1.0_bf0.8,0.8917,2.683,-4.8963,4.6469,0.0179,1.5596
lr0.05_nl15_ff1.0_bf1.0,0.8771,2.4788,-4.7857,4.1539,0.0179,1.5201
lr0.05_nl15_ff1.0_bf0.8,0.8771,2.4788,-4.7857,4.1539,0.0179,1.5201
