,config,threshold,precision
0,5s_10i,0.0,0.671
1,10s_60i,0.42,0.749
2,20s_10i,0.49,0.818
3,40s_80i,0.49,0.818
4,20s_5i,0.49,0.818
5,80s_60i,0.49,0.818
6,60s_5i,0.49,0.818
7,2s_40i,0.0,0.84
8,60s_40i,0.0,0.84
9,10s_10i,0.0,0.84
10,80s_5i,0.0,0.84
11,2s_60i,0.0,0.84
12,60s_60i,0.0,0.84
13,80s_40i,0.0,0.84
14,40s_5i,0.0,0.84
15,5s_1i,0.0,0.84
16,80s_80i,0.0,0.84
17,2s_5i,0.0,0.84
18,10s_1i,0.0,0.84
19,60s_20i,0.0,0.84
20,60s_10i,0.0,0.84
21,2s_80i,0.0,0.847
22,10s_40i,0.52,0.877
23,40s_1i,0.52,0.877
24,2s_20i,0.52,0.877
25,20s_80i,0.52,0.877
26,40s_10i,0.52,0.877
27,80s_20i,0.52,0.877
28,60s_1i,0.52,0.877
29,5s_80i,0.52,0.877
30,60s_80i,0.52,0.877
31,10s_20i,0.52,0.877
32,20s_1i,0.52,0.877
33,40s_40i,0.52,0.877
34,5s_20i,0.52,0.877
35,20s_20i,0.52,0.877
36,80s_1i,0.52,0.877
37,10s_80i,0.52,0.877
38,40s_60i,0.52,0.877
39,5s_5i,0.52,0.877
40,2s_10i,0.52,0.877
41,2s_1i,0.52,0.877
42,40s_20i,0.52,0.877
43,20s_40i,0.52,0.877
44,10s_5i,0.52,0.877
45,5s_40i,0.52,0.877
46,5s_60i,0.52,0.877
47,20s_60i,0.52,0.877
48,80s_10i,0.52,0.877
